model_name,stock_a,stock_b,beta_static,feature_cols,threshold,model_path,dataset_last_date,live_zscore,live_probability,baseline_action,final_action,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
HEROMOTOCO__EICHERMOT,HEROMOTOCO.NS,EICHERMOT.NS,0.6993946653733907,"['z', 'z_chg_5', 'z_chg_20', 'corr_30', 'spread_vol_20', 'spread_vol_60', 'half_life', 'hurst', 'beta_dev']",0.55,C:\projects\Pair-Trading-Project\models\pair_models\HEROMOTOCO__EICHERMOT.joblib,2026-08-31,0.7247527981628873,0.38760715926589356,NO_TRADE,NO_TRADE,0.744421906693712,0.2857142857142857,0.26666666666666666,0.27586206896551724,0.5679073614557485,0.6181818181818182,0.25906735751295334,0.5208333333333334,0.3460207612456747,0.6446324143692566
HDFCBANK__KOTAKBANK,HDFCBANK.NS,KOTAKBANK.NS,1.8936969663477323,"['z', 'z_chg_5', 'z_chg_20', 'corr_30', 'spread_vol_20', 'spread_vol_60', 'half_life', 'hurst', 'beta_dev']",0.55,C:\projects\Pair-Trading-Project\models\pair_models\HDFCBANK__KOTAKBANK.joblib,2026-08-31,-1.5080858700557447,0.6985454351841427,NO_TRADE,NO_TRADE,0.5821501014198783,0.15,0.11029411764705882,0.1271186440677966,0.49769319492502884,0.6181818181818182,0.37777777777777777,0.3269230769230769,0.35051546391752575,0.6309091596702217
INFY__HCLTECH,INFY.NS,HCLTECH.NS,1.6756611565601691,"['z', 'z_chg_5', 'z_chg_20', 'corr_30', 'spread_vol_20', 'spread_vol_60', 'half_life', 'hurst', 'beta_dev']",0.55,C:\projects\Pair-Trading-Project\models\pair_models\INFY__HCLTECH.joblib,2026-08-31,0.22516567874195614,0.34276877323737975,NO_TRADE,NO_TRADE,0.7505070993914807,0.2727272727272727,0.025423728813559324,0.046511627906976744,0.5642937853107345,0.6686868686868687,0.045454545454545456,0.006944444444444444,0.012048192771084338,0.6030982905982907
