sector,stock_a,stock_b,corr_train,coint_stat,coint_pvalue,spread_adf_pvalue,beta_a_on_b,cointegrated_5pct
Auto,HEROMOTOCO.NS,EICHERMOT.NS,0.8788868949973441,-4.679343817399986,0.0006119575298552179,9.269365545215028e-05,0.6993946653733907,True
Banking,HDFCBANK.NS,KOTAKBANK.NS,0.9835887386803139,-4.612718760432931,0.0007946403180060484,0.0001230938395386014,1.8936969663477323,True
IT,INFY.NS,HCLTECH.NS,0.9835299955161513,-3.9847910055943747,0.007548055332581299,0.0014988911347951894,1.6756611565601691,True
IT,TECHM.NS,MPHASIS.NS,0.9599305615173224,-3.0592060720693786,0.09679368707256109,0.029773255252075366,0.37416373481059706,False
IT,WIPRO.NS,HCLTECH.NS,0.9626731002161162,-3.039752187522552,0.10105604092877651,0.031423442598208534,0.2857862984209198,False
Energy,ONGC.NS,COALINDIA.NS,0.8027491004856,-2.951529511522225,0.12218116958105812,0.03978083076136139,0.6378822410608156,False
IT,INFY.NS,WIPRO.NS,0.9662000864438001,-2.8209077455286775,0.159122896845091,0.05540926768268786,5.545019760065891,False
IT,WIPRO.NS,TECHM.NS,0.9518917791714211,-2.755368379588495,0.18029915903994076,0.06507091122208025,0.22598965266256132,False
IT,HCLTECH.NS,TECHM.NS,0.9467331900426017,-2.6772721151880607,0.2078592305648888,0.07820112428130216,0.7571222589214017,False
Banking,HDFCBANK.NS,ICICIBANK.NS,0.9098872910549772,-2.543819046467554,0.2600928784727087,0.10522694678601563,1.027813887109982,False
IT,WIPRO.NS,MPHASIS.NS,0.9561562728556713,-2.4853039670899184,0.28558860970415334,0.11899285002770033,0.08848134799724484,False
IT,HCLTECH.NS,MPHASIS.NS,0.950258731676482,-2.4153937384123374,0.31759921624440557,0.1377108167782291,0.29621166271050126,False
IT,TCS.NS,INFY.NS,0.9674208620808175,-2.3293022072466183,0.3590259901627302,0.16300904048928588,1.9963074162178072,False
Banking,ICICIBANK.NS,SBIN.NS,0.8148135866061931,-2.065987461035204,0.49415230734549853,0.2587037995475481,1.7239413062495088,False
Banking,ICICIBANK.NS,KOTAKBANK.NS,0.9097609561751951,-2.0549575342635387,0.49991843955111726,0.2636167105687829,1.550591317750396,False
IT,INFY.NS,TECHM.NS,0.9528056344548438,-2.02681869532838,0.5146120590645857,0.27554124161335003,1.2981991527028653,False
Banking,SBIN.NS,AXISBANK.NS,0.8009863023239748,-1.9175320383143757,0.5710890200578106,0.32475115466025917,0.46675094271948336,False
IT,INFY.NS,MPHASIS.NS,0.957123109039006,-1.9168087766819586,0.5714578993831713,0.32478456866723254,0.5083076900114579,False
IT,TCS.NS,HCLTECH.NS,0.9571430611655756,-1.7046336344253001,0.6747847190298136,0.43068440617811726,3.3650182178203716,False
Energy,RELIANCE.NS,POWERGRID.NS,0.810110473770681,-1.641946083976178,0.7028646561489638,0.46194381949037666,14.280759756487805,False
IT,TCS.NS,WIPRO.NS,0.9071642081615159,-1.6151947718287856,0.714433965990404,0.47559295635334864,10.743206032415252,False
IT,TCS.NS,MPHASIS.NS,0.9261211140167085,-1.3497325154000646,0.8142237833442374,0.6088403541733686,1.0149359480551352,False
IT,TCS.NS,TECHM.NS,0.9301378728234962,-1.1073500180631148,0.8805237408814712,0.712976471922655,2.6151481942383805,False
