date,pair,pnl,equity,event
2026-08-31,HDFCBANK__KOTAKBANK,0.0,200000.0,flat
2026-08-31,HEROMOTOCO__EICHERMOT,0.0,200000.0,flat
2026-08-31,INFY__HCLTECH,0.0,200000.0,flat
