Date,MARUTI.NS,HEROMOTOCO.NS,EICHERMOT.NS,BAJAJ-AUTO.NS
2015-01-01,3032.034912109375,2197.227294921875,1410.3421630859375,1845.35888671875
2015-01-02,3049.1435546875,2192.062255859375,1393.671875,1845.05810546875
2015-01-05,3129.192626953125,2207.132568359375,1400.0111083984375,1851.793701171875
2015-01-06,3081.49853515625,2132.83984375,1363.542724609375,1837.3448486328125
2015-01-07,3120.0712890625,2104.290771484375,1382.3935546875,1841.634033203125
2015-01-08,3154.333251953125,2111.33154296875,1374.42822265625,1844.042236328125
2015-01-09,3147.707275390625,2117.16796875,1361.953369140625,1787.940185546875
2015-01-12,3142.897216796875,2078.182373046875,1372.9451904296875,1756.44580078125
2015-01-13,3147.7529296875,2047.085205078125,1367.5394287109375,1748.9959716796875
2015-01-14,3191.09033203125,2054.0546875,1370.71826171875,1778.6085205078125
2015-01-15,3290.74365234375,2087.663330078125,1397.858154296875,1819.622314453125
2015-01-16,3282.393798828125,2050.269287109375,1418.4136962890625,1821.27783203125
2015-01-19,3291.15234375,2010.363525390625,1429.9554443359375,1809.0489501953125
2015-01-20,3272.36474609375,2001.4130859375,1431.443115234375,1809.312255859375
2015-01-21,3298.8212890625,2034.3140869140625,1420.5068359375,1841.2203369140625
2015-01-22,3264.83203125,2008.6304931640625,1415.2027587890625,1839.451904296875
2015-01-23,3273.40869140625,2025.5758056640625,1399.5859375,1837.3448486328125
2015-01-27,3347.10546875,2022.0025634765625,1486.7532958984375,1821.05224609375
2015-01-28,3381.5029296875,2027.203125,1509.9471435546875,1805.2109375
2015-01-29,3347.921630859375,2035.2689208984375,1522.7547607421875,1809.65087890625
2015-01-30,3310.302490234375,2027.4854736328125,1504.0006103515625,1799.8675537109375
2015-02-02,3330.360107421875,2004.6319580078125,1530.4154052734375,1767.9600830078125
2015-02-03,3274.45263671875,1989.9150390625,1508.4085693359375,1701.321533203125
2015-02-04,3228.80078125,2002.0146484375,1471.0670166015625,1689.69482421875
2015-02-05,3197.170654296875,2014.60888671875,1463.494384765625,1689.69482421875
2015-02-06,3178.928955078125,1964.37255859375,1440.4112548828125,1673.138671875
2015-02-09,3096.0654296875,1930.76416015625,1396.777099609375,1707.6429443359375
2015-02-10,3080.22802734375,1924.6431884765625,1398.4031982421875,1706.739990234375
2015-02-11,3135.500244140625,1948.134765625,1491.56298828125,1716.2596435546875
2015-02-12,3223.672607421875,1986.4835205078125,1517.1273193359375,1702.60107421875
2015-02-13,3282.7119140625,2018.5712890625,1503.2154541015625,1701.3594970703125
2015-02-16,3242.00634765625,1984.67919921875,1483.2281494140625,1702.1495361328125
2015-02-18,3235.51708984375,1884.7374267578125,1566.042724609375,1685.93212890625
2015-02-19,3262.925537109375,1885.5867919921875,1537.6829833984375,1665.0487060546875
2015-02-20,3219.54296875,1881.305908203125,1511.9661865234375,1660.7220458984375
2015-02-23,3218.22705078125,1873.5228271484375,1476.8333740234375,1641.4190673828125
2015-02-24,3256.709228515625,1875.999755859375,1463.9287109375,1649.170166015625
2015-02-25,3249.085205078125,1857.0018310546875,1441.2105712890625,1640.5159912109375
2015-02-26,3173.7099609375,1855.374267578125,1405.074951171875,1606.5760498046875
2015-02-27,3271.3212890625,1890.999755859375,1460.615966796875,1618.3536376953125
2015-03-02,3368.478759765625,1857.0018310546875,1517.875732421875,1560.9718017578125
2015-03-03,3365.9375,1865.4571533203125,1470.0,1593.5194091796875
2015-03-04,3338.483154296875,1855.374267578125,1482.936767578125,1596.98095703125
2015-03-05,3338.801025390625,1846.3175048828125,1478.6072998046875,1594.384765625
2015-03-09,3332.038818359375,1839.10107421875,1450.765380859375,1587.7623291015625
2015-03-10,3309.757568359375,1852.155029296875,1473.682373046875,1602.36181640625
2015-03-11,3318.561767578125,1848.6173095703125,1488.1475830078125,1579.0704345703125
2015-03-12,3344.654541015625,1869.596435546875,1511.322021484375,1559.8428955078125
2015-03-13,3313.343017578125,1846.706787109375,1475.068115234375,1522.478759765625
2015-03-16,3310.030517578125,1861.7421875,1466.5029296875,1524.2847900390625
2015-03-17,3323.190185546875,1876.034423828125,1477.848876953125,1540.6153564453125
2015-03-18,3326.23046875,1892.9451904296875,1487.2530517578125,1528.612060546875
2015-03-19,3317.245361328125,1884.0657958984375,1493.5008544921875,1524.171875
2015-03-20,3288.9736328125,1846.6715087890625,1484.778076171875,1518.528076171875
2015-03-23,3262.245361328125,1865.88134765625,1470.7296142578125,1528.98828125
2015-03-24,3255.80126953125,1843.23974609375,1436.9090576171875,1526.166259765625
2015-03-25,3280.715087890625,1836.624267578125,1443.5556640625,1517.7755126953125
2015-03-26,3232.340087890625,1842.284912109375,1440.34814453125,1508.330810546875
2015-03-27,3276.449462890625,1822.7559814453125,1435.949951171875,1517.8131103515625
2015-03-30,3322.6455078125,1870.97607421875,1484.9078369140625,1526.166259765625
2015-03-31,3355.681884765625,1867.7918701171875,1474.6417236328125,1517.5872802734375
2015-04-01,3307.89697265625,1879.1483154296875,1484.96337890625,1519.9954833984375
2015-04-06,3293.602294921875,1891.070556640625,1462.989501953125,1532.4876708984375
2015-04-07,3267.23681640625,1862.52099609375,1481.6077880859375,1576.2484130859375
2015-04-08,3293.37548828125,1843.7352294921875,1531.8079833984375,1579.9735107421875
2015-04-09,3321.057373046875,1847.838623046875,1511.19677734375,1579.2584228515625
2015-04-10,3327.773681640625,1828.20458984375,1504.499267578125,1579.408935546875
2015-04-13,3326.503173828125,1825.975830078125,1489.70947265625,1576.8128662109375
2015-04-15,3340.162353515625,1786.24658203125,1471.355712890625,1561.535888671875
2015-04-16,3338.029052734375,1719.4185791015625,1468.0648193359375,1571.356689453125
