Date,price_a,price_b,beta,spread,zscore,position,position_lag,strategy_ret,equity,buyhold_spread
2015-02-12,1986.4835205078125,1517.1273193359375,0.6993946653733907,925.4127666720253,-1.215109785370407,0,0.0,0.0,1.0,1.0
2015-02-13,2018.5712890625,1503.2154541015625,0.6993946653733907,967.2304195570282,-0.733528970408146,0,0.0,0.0,1.0,1.0225664109037274
2015-02-16,1984.67919921875,1483.2281494140625,0.6993946653733907,947.3173439869083,-0.9037778842367589,0,0.0,-0.0,1.0,1.0149066426570186
2015-02-18,1884.7374267578125,1566.042724609375,0.6993946653733907,789.4554994192056,-2.4971703117480155,1,0.0,-0.001,0.999,0.9241672428000242
2015-02-19,1885.5867919921875,1537.6829833984375,0.6993946653733907,810.1395163678803,-2.090558155788924,1,1.0,0.01311611455594802,1.012102998441392,0.9362887262254439
2015-02-20,1881.305908203125,1511.9661865234375,0.6993946653733907,823.8448231236839,-1.7921212695785016,1,1.0,0.009426624075811,1.0216437129337002,0.9451147680739911
2015-02-23,1873.5228271484373,1476.8333740234375,0.6993946653733907,840.6334437110597,-1.5202731703980532,1,1.0,0.012114425868580879,1.0340203399581371,0.9565642908691244
2015-02-24,1875.999755859375,1463.9287109375,0.6993946653733907,852.135824942743,-1.3418288810074694,1,1.0,0.007433424865374628,1.0417066524644851,0.9636748396542004
2015-02-25,1857.0018310546875,1441.2105712890625,0.6993946653733907,849.0268458153804,-1.3068801518640696,1,1.0,0.0007268065786907724,1.0424637717125622,0.9643752448673798
2015-02-26,1855.374267578125,1405.074951171875,0.6993946653733907,872.6723422787383,-0.9669930459294043,1,1.0,0.01665954711789546,1.0598307460361067,0.9804412996985798
2015-02-27,1890.999755859375,1460.615966796875,0.6993946653733907,869.4527405224432,-0.95326548584965,1,1.0,-0.008445035192040123,1.0508804380882257,0.9721614384188958
2015-03-02,1857.0018310546875,1517.875732421875,0.6993946653733907,795.4076410990999,-1.8074975631867496,1,1.0,-0.04539681386309178,1.0031738144479703,0.9280284065541176
2015-03-03,1865.4571533203125,1470.0,0.6993946653733907,837.3469952214282,-1.1911482833191942,1,1.0,0.026613009468203608,1.029871288670128,0.9527260353245042
2015-03-04,1855.374267578125,1482.936767578125,0.6993946653733907,818.2162032479246,-1.34718861973523,1,1.0,-0.011560086406203273,1.0179658875858333,0.9417124400347134
2015-03-05,1846.3175048828125,1478.6072998046875,0.6993946653733907,812.1874472172603,-1.3280524540211476,1,1.0,-0.0028394682808471536,1.015075405737049,0.9390384774315557
2015-03-09,1839.10107421875,1450.765380859375,0.6993946653733907,824.4435061373077,-1.1056571147579364,1,1.0,0.00926092676170142,1.0244759447271843,0.9477348439974689
2015-03-10,1852.155029296875,1473.682373046875,0.6993946653733907,821.4694391330916,-1.0799166824484998,1,1.0,-0.003949968159266487,1.0204292973655775,0.9439913215402514
2015-03-11,1848.6173095703125,1488.1475830078125,0.6993946653733907,807.8148287263434,-1.219345854726861,1,1.0,-0.008775097467275231,1.0114749308227313,0.9357077056854738
2015-03-12,1869.596435546875,1511.322021484375,0.6993946653733907,812.5858760593742,-1.0792801350922754,1,1.0,0.00045710427100750274,1.0119372803336275,0.9361354216741573
2015-03-13,1846.706787109375,1475.068115234375,0.6993946653733907,815.0520162520713,-0.977657018297668,1,1.0,0.0045341284662512304,1.016525533962449,0.9403799799378362
2015-03-16,1861.7421875,1466.5029296875,0.6993946653733907,836.0778617221138,-0.615658730404119,1,1.0,0.012202867838210382,1.028930060707559,0.9518553125507165
