Date,price_a,price_b,beta,spread,zscore,position,position_lag,strategy_ret,equity,buyhold_spread,z,z_chg_5,z_chg_20,corr_30,spread_vol_20,spread_vol_60,y,rf_proba,rf_accept,position_ml,strategy_ret_ml,equity_ml,equity_base
2015-03-31,1867.7918701171875,1474.6417236328125,0.6993946653733907,836.4353152713766,0.1037537581975245,0,0.0,0.0,1.0302324546379489,0.950997668609502,0.10375375819752451,0.37239861329752655,1.9112513213842741,0.3758495200538608,0.010156339524798356,0.019127514172852626,0,0.2962069482455299,0,0.0,0.0,1.0,1.0
2015-04-01,1879.1483154296875,1484.96337890625,0.6993946653733907,840.5728499478112,0.5500245111536322,0,0.0,0.0,1.0302324546379489,0.9521243908380608,0.5500245111536322,0.9918127358582015,1.7411727944728264,0.5563880482100153,0.008225065585397207,0.019098667737953434,0,0.28060110640753877,0,0.0,0.0,1.0,1.0
2015-04-06,1891.070556640625,1462.989501953125,0.6993946653733907,867.8635034773356,1.852602571150882,0,0.0,0.0,1.0302324546379489,0.9680190090743968,1.852602571150882,2.0612974175951555,3.199791190886112,0.4793023392059527,0.00855473453216677,0.01925321097380101,0,0.363814862675644,0,0.0,0.0,1.0,1.0
2015-04-07,1862.52099609375,1481.6077880859375,0.6993946653733907,826.2924129307762,-0.3608560574977588,0,0.0,-0.0,1.0302324546379489,0.944788810915138,-0.3608560574977588,0.18516059295161263,0.9671963965233887,0.42877676320454483,0.010248829236377426,0.01937709461605632,0,0.2768200951641577,0,0.0,-0.0,1.0,1.0
2015-04-08,1843.7352294921875,1531.8079833984375,0.6993946653733907,772.396897526949,-2.719903037436488,1,0.0,-0.001,1.029202222183311,0.9128707610556496,-2.7199030374364876,-2.578513729340434,-1.6142459226785513,0.2673613277900879,0.012543032454422858,0.019610667103656297,0,0.5011351240740138,0,0.0,-0.0,1.0,0.999
2015-04-09,1847.838623046875,1511.19677734375,0.6993946653733907,790.9156586431966,-1.699451526837434,1,1.0,0.011636275576637,1.0411783028647232,0.9234931767971476,-1.699451526837434,-1.8032052850349585,-0.6195348443889341,0.21868390778413627,0.012881837118918079,0.019658255609608634,0,0.5197398608906323,0,0.0,0.0,1.0,1.0106246393010605
2015-04-10,1828.20458984375,1504.499267578125,0.6993946653733907,775.965828041436,-2.0970781942321057,1,1.0,-0.0075257404729507,1.033342665171296,0.9165432068200312,-2.0970781942321057,-2.6471027053857377,-0.8777323395052448,0.15270721376411817,0.012845215811105546,0.019596044638409835,0,0.5360931855549464,0,0.0,-0.0,1.0,1.0030189405501113
2015-04-13,1825.975830078125,1489.70947265625,0.6993946653733907,784.0809719461367,-1.6188444591200537,1,1.0,0.0056562156317125,1.0391874741069536,0.9217273728335869,-1.6188444591200537,-3.4714470302709355,-0.5395643240277783,0.11588605054106814,0.012927643606251305,0.019447090719305282,0,0.5632848731279371,1,1.0,0.004656215631712583,1.0046562156317125,1.0086922319605547
2015-04-15,1786.24658203125,1471.355712890625,0.6993946653733907,757.1882455688847,-2.412465447367253,1,1.0,-0.0131410216904923,1.0255314889692262,0.90961493343446,-2.412465447367253,-2.0516093898694945,-1.434808429069585,0.13268773743509613,0.013153525755785921,0.019454788858633616,0,0.533820203615812,0,0.0,-0.001,1.0036515594160809,0.99543698546133
2015-04-16,1719.4185791015625,1468.0648193359375,0.6993946653733907,692.6618760356573,-3.607120706773788,1,1.0,-0.0358482351634832,0.9887679949851004,0.8770068433924855,-3.607120706773788,-0.8872176693373004,-2.991461976369669,0.18548969600621976,0.014790278608980183,0.019893232229253693,0,0.5697858995539291,1,1.0,-0.036848235163483255,0.9666687707325204,0.9597523263160834
