Date,HDFCBANK.NS,ICICIBANK.NS,SBIN.NS,AXISBANK.NS,KOTAKBANK.NS,INDUSINDBK.NS,BANKBARODA.NS
2015-01-01,217.2353515625,294.0238342285156,279.88055419921875,486.962890625,124.95896911621094,764.631103515625,186.382080078125
2015-01-02,220.25869750976562,302.36968994140625,280.99468994140625,497.85308837890625,126.24468994140625,768.303466796875,188.65365600585938
2015-01-05,218.39907836914062,302.9956359863281,278.7663269042969,500.9991455078125,125.73834228515625,771.31689453125,188.60205078125
2015-01-06,214.99920654296875,290.14300537109375,267.31268310546875,483.0907897949219,124.23915100097656,751.8244018554688,182.32936096191406
2015-01-07,215.62672424316406,282.2979431152344,267.53546142578125,482.7035827636719,126.23973083496094,745.7506713867188,183.5684051513672
2015-01-08,220.15597534179688,289.9761047363281,271.72479248046875,485.8980712890625,133.105224609375,752.1068725585938,185.44419860839844
2015-01-09,222.6203155517578,285.3024597167969,270.2541198730469,479.1219482421875,135.12069702148438,755.21435546875,182.49285888671875
2015-01-12,220.65797424316406,289.22503662109375,273.7303161621094,485.51080322265625,136.11849975585938,781.0630493164062,185.85720825195312
2015-01-13,219.813720703125,284.5096130371094,271.9476318359375,488.3665466308594,138.2977752685547,777.3434448242188,186.132568359375
2015-01-14,219.93923950195312,281.1712646484375,271.5910949707031,483.62322998046875,138.12405395507812,769.0096435546875,185.00535583496094
2015-01-15,226.61341857910156,294.48291015625,285.4959716796875,497.611083984375,139.03741455078125,781.9105224609375,188.98922729492188
2015-01-16,228.48443603515625,295.31744384765625,281.1730041503906,498.3371276855469,138.53607177734375,783.322998046875,186.0034637451172
2015-01-19,229.21461486816406,301.1177978515625,279.1229248046875,512.03466796875,137.9503173828125,780.7805786132812,186.69183349609375
2015-01-20,232.9567108154297,306.91815185546875,283.57958984375,533.7666625976562,138.57081604003906,791.4213256835938,187.0274200439453
2015-01-21,232.72853088378906,307.5023498535156,290.75494384765625,529.7494506835938,137.8212127685547,793.3988037109375,194.10032653808594
2015-01-22,233.025146484375,308.6290588378906,289.3733215332031,546.6897583007812,137.7715606689453,796.8829345703125,192.6117401123047
2015-01-23,237.94236755371094,309.3802185058594,291.8690490722656,547.0769653320312,137.5382537841797,807.33544921875,191.96641540527344
2015-01-27,245.07289123535156,320.0628662109375,294.1865234375,573.1651611328125,137.84109497070312,812.8912963867188,191.8373260498047
2015-01-28,241.490478515625,320.52191162109375,298.2421569824219,571.7130737304688,134.14773559570312,818.0704345703125,192.35360717773438
2015-01-29,249.85313415527344,317.3922119140625,291.4679870605469,580.3284912109375,132.18682861328125,824.944580078125,186.8467254638672
2015-01-30,245.8258819580078,301.0343322753906,275.3793029785156,569.2931518554688,131.2734375,819.4358520507812,166.1959228515625
2015-02-02,246.79559326171875,293.6482849121094,274.0868835449219,597.5592041015625,134.26686096191406,823.5321044921875,161.6355438232422
2015-02-03,242.80250549316406,289.2667236328125,267.6692199707031,567.8410034179688,129.69482421875,811.1021118164062,159.22628784179688
2015-02-04,243.62396240234375,287.6392822265625,261.2070007324219,540.7363891601562,128.22540283203125,812.9383544921875,159.09718322753906
2015-02-05,245.63189697265625,280.0862731933594,259.2014465332031,547.8031005859375,127.86799621582031,814.915771484375,152.7729034423828
2015-02-06,240.3838348388672,274.8701477050781,258.75579833984375,545.1410522460938,125.78303527832031,795.9884033203125,151.39617919921875
2015-02-09,237.32627868652344,267.1085205078125,249.1293182373047,535.8963623046875,125.71849060058594,777.013916015625,149.2450408935547
2015-02-10,240.6006317138672,276.2889709472656,256.081787109375,536.38037109375,127.65451049804688,791.7509765625,151.7833709716797
2015-02-11,241.50193786621094,279.33514404296875,254.87852478027344,551.0458984375,128.9402618408203,805.5934448242188,155.6984100341797
2015-02-12,245.51780700683594,283.0491027832031,253.40773010253906,560.2420043945312,128.73175048828125,819.2005004882812,155.56935119628906
2015-02-13,243.19039916992188,286.9716796875,273.5965881347656,562.516845703125,130.01254272460938,824.2853393554688,157.41932678222656
2015-02-16,243.58970642089844,282.13104248046875,273.373779296875,552.0623168945312,128.31971740722656,812.5616455078125,157.2472381591797
2015-02-18,245.2440185546875,285.761474609375,272.4825134277344,551.2879028320312,129.84375,814.3978881835938,157.6344451904297
2015-02-19,246.3848876953125,282.5483093261719,269.4964904785156,547.173828125,129.78915405273438,807.4766845703125,153.63336181640625
2015-02-20,244.84469604492188,276.20550537109375,269.4518737792969,543.5435791015625,128.89559936523438,825.65087890625,157.72048950195312
2015-02-23,243.57830810546875,274.5780944824219,264.32666015625,531.4918212890625,130.7422637939453,816.9404296875,156.903076171875
2015-02-24,243.6125030517578,272.1160583496094,264.05926513671875,534.15380859375,134.06332397460938,813.7388916015625,152.08453369140625
2015-02-25,240.1442413330078,269.15325927734375,263.4353332519531,535.3155517578125,133.2938690185547,808.4653930664062,152.4287109375
2015-02-26,236.88131713867188,268.1517639160156,257.9535827636719,534.6378784179688,132.3804473876953,795.9884033203125,147.43812561035156
2015-02-27,240.49794006347656,279.7942199707031,267.31268310546875,549.0130615234375,132.81729125976562,814.0684204101562,155.74143981933594
2015-03-02,247.01235961914062,291.3114929199219,269.1844482421875,626.8418579101562,139.46435546875,889.4014892578125,156.94606018066406
2015-03-03,247.19493103027344,290.9776611328125,269.7192687988281,611.2083129882812,139.8614959716797,883.8457641601562,161.07623291015625
