Date,AXISBANK.NS,BAJAJ-AUTO.NS,BANKBARODA.NS,COALINDIA.NS,EICHERMOT.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,KOTAKBANK.NS,MARUTI.NS,MPHASIS.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,TCS.NS,TECHM.NS,WIPRO.NS
2015-01-01,486.962890625,1845.35888671875,186.382080078125,152.53903198242188,1410.3421630859375,296.374267578125,217.2353515625,2197.227294921875,294.0238342285156,764.631103515625,367.77081298828125,124.95896911621094,3032.034912109375,289.3536376953125,79.6338119506836,129.91119384765625,47.74595642089844,189.9998016357422,279.88055419921875,988.8798828125,462.6292419433594,91.15480041503906
2015-01-02,497.85308837890625,1845.05810546875,188.65365600585938,153.22132873535156,1393.671875,296.08837890625,220.25869750976562,2192.062255859375,302.36968994140625,768.303466796875,374.9980163574219,126.24468994140625,3049.1435546875,288.20849609375,80.72391510009766,131.8557891845703,48.32057571411133,189.49693298339844,280.99468994140625,1002.0487060546875,464.8936767578125,91.96338653564453
2015-01-05,500.9991455078125,1851.793701171875,188.60205078125,152.61927795410156,1400.0111083984375,291.1082458496094,218.39907836914062,2207.132568359375,302.9956359863281,771.31689453125,371.7756042480469,125.73834228515625,3129.192626953125,289.2059020996094,80.50029754638672,133.34730529785156,48.372825622558594,187.42123413085938,278.7663269042969,986.8209228515625,457.1373291015625,92.12840270996094
2015-01-06,483.0907897949219,1837.3448486328125,182.32936096191406,152.4989013671875,1363.542724609375,283.3336486816406,214.99920654296875,2132.83984375,290.14300537109375,751.8244018554688,364.00811767578125,124.23915100097656,3081.49853515625,287.0633544921875,77.81697845458984,125.79544830322266,47.293216705322266,178.91525268554688,267.31268310546875,950.4405517578125,452.23382568359375,89.97492980957031
2015-01-07,482.7035827636719,1841.634033203125,183.5684051513672,150.3917236328125,1382.3935546875,276.6011047363281,215.62672424316406,2104.290771484375,282.2979431152344,745.7506713867188,365.749755859375,126.23973083496094,3120.0712890625,284.9947204589844,79.689697265625,127.6456527709961,47.972328186035156,182.80984497070312,267.53546142578125,939.21337890625,450.1208190917969,89.29011535644531
2015-01-08,485.8980712890625,1844.042236328125,185.44419860839844,152.2982177734375,1374.42822265625,283.0015869140625,220.15597534179688,2111.33154296875,289.9761047363281,752.1068725585938,367.59381103515625,133.105224609375,3154.333251953125,282.7043762207031,81.03138732910156,129.0616455078125,48.1812858581543,180.18844604492188,271.72479248046875,949.3525390625,457.6544189453125,89.93367767333984
2015-01-09,479.1219482421875,1787.940185546875,182.49285888671875,150.53216552734375,1361.953369140625,285.0766296386719,222.6203155517578,2117.16796875,285.3024597167969,755.21435546875,386.40704345703125,135.12069702148438,3147.707275390625,282.556640625,78.4039306640625,132.53549194335938,48.216102600097656,184.09371948242188,270.2541198730469,975.9630737304688,477.9281005859375,91.3363265991211
2015-01-12,485.51080322265625,1756.44580078125,185.85720825195312,143.62872314453125,1372.9451904296875,290.6101379394531,220.65797424316406,2078.182373046875,289.22503662109375,781.0630493164062,394.1372375488281,136.11849975585938,3142.897216796875,279.0103759765625,78.26419830322266,131.28944396972656,47.53699493408203,181.953857421875,273.7303161621094,974.9529418945312,491.0604553222656,91.75712585449219
2015-01-13,488.3665466308594,1748.9959716796875,186.132568359375,144.97328186035156,1367.5394287109375,292.094970703125,219.813720703125,2047.085205078125,284.5096130371094,777.3434448242188,389.0986022949219,138.2977752685547,3147.7529296875,283.25848388671875,77.67720794677734,128.36309814453125,47.310646057128906,180.4238739013672,271.9476318359375,970.3692016601562,492.3264465332031,92.98648071289062
2015-01-14,483.62322998046875,1778.6085205078125,185.00535583496094,145.77603149414062,1370.71826171875,291.2095947265625,219.93923950195312,2054.0546875,281.1712646484375,769.0096435546875,396.50286865234375,138.12405395507812,3191.09033203125,280.4510498046875,77.00636291503906,129.91119384765625,47.38029098510742,178.66917419433594,271.5910949707031,979.7115478515625,497.7558898925781,91.0805435180664
2015-01-15,497.611083984375,1819.622314453125,188.98922729492188,147.8832244873047,1397.858154296875,293.8749694824219,226.61341857910156,2087.663330078125,294.48291015625,781.9105224609375,397.5460205078125,139.03741455078125,3290.74365234375,278.4931945800781,77.81697845458984,130.83631896972656,49.78325653076172,184.93898010253906,285.4959716796875,986.3740844726562,496.0174560546875,92.326416015625
2015-01-16,498.3371276855469,1821.27783203125,186.0034637451172,152.1376495361328,1418.4136962890625,302.3134765625,228.48443603515625,2050.269287109375,295.31744384765625,783.322998046875,394.574951171875,138.53607177734375,3282.393798828125,279.7491760253906,78.48779296875,131.06283569335938,51.315589904785156,186.10523986816406,281.1730041503906,983.6741333007812,502.2848205566406,91.59210205078125
2015-01-19,512.03466796875,1809.0489501953125,186.69183349609375,152.19786071777344,1429.9554443359375,303.35565185546875,229.21461486816406,2010.363525390625,301.1177978515625,780.7805786132812,391.6319885253906,137.9503173828125,3291.15234375,275.2424621582031,79.24250030517578,131.2139129638672,51.48971939086914,188.23440551757812,279.1229248046875,975.4580688476562,499.3072204589844,96.40231323242188
2015-01-20,533.7666625976562,1809.312255859375,187.0274200439453,153.44210815429688,1431.443115234375,308.42803955078125,232.9567108154297,2001.4130859375,306.91815185546875,791.4213256835938,395.6739807128906,138.57081604003906,3272.36474609375,272.84136962890625,79.85741424560547,132.27122497558594,51.333003997802734,193.24172973632812,283.57958984375,971.3594970703125,499.5834045410156,97.4254150390625
2015-01-21,529.7494506835938,1841.2203369140625,194.10032653808594,157.275146484375,1420.5068359375,311.21319580078125,232.72853088378906,2034.3140869140625,307.5023498535156,793.3988037109375,404.1864013671875,137.8212127685547,3298.8212890625,273.21075439453125,80.2208023071289,130.6663818359375,51.15887451171875,194.0334930419922,290.75494384765625,976.5455932617188,498.6385498046875,97.14488220214844
2015-01-22,546.6897583007812,1839.451904296875,192.6117401123047,159.1013641357422,1415.2027587890625,307.2382507324219,233.025146484375,2008.6304931640625,308.6290588378906,796.8829345703125,409.1320495605469,137.7715606689453,3264.83203125,267.5958557128906,78.37600708007812,133.25294494628906,51.66383743286133,189.1117706298828,289.3733215332031,976.4486083984375,491.79156494140625,98.95064544677734
2015-01-23,547.0769653320312,1837.3448486328125,191.96641540527344,158.4190216064453,1399.5859375,303.72454833984375,237.94236755371094,2025.5758056640625,309.3802185058594,807.33544921875,412.59661865234375,137.5382537841797,3273.40869140625,268.3345947265625,79.32634735107422,131.7047882080078,52.081748962402344,189.78582763671875,291.8690490722656,972.583251953125,495.8302001953125,100.15727233886719
2015-01-27,573.1651611328125,1821.05224609375,191.8373260498047,153.5825653076172,1486.7532958984375,298.1356201171875,245.07289123535156,2022.0025634765625,320.0628662109375,812.8912963867188,397.965087890625,137.84109497070312,3347.10546875,265.7488098144531,80.0251235961914,132.25233459472656,52.221046447753906,190.24588012695312,294.1865234375,973.9262084960938,502.2314147949219,99.6163558959961
2015-01-28,571.7130737304688,1805.2109375,192.35360717773438,154.0441436767578,1509.9471435546875,306.07623291015625,241.490478515625,2027.203125,320.52191162109375,818.0704345703125,399.464599609375,134.14773559570312,3381.5029296875,267.4111022949219,79.85741424560547,133.6305389404297,52.04692840576172,194.0548858642578,298.2421569824219,988.54248046875,512.3414916992188,101.0643081665039
2015-01-29,580.3284912109375,1809.65087890625,186.8467254638672,150.49205017089844,1522.7547607421875,304.1488342285156,249.85313415527344,2035.2689208984375,317.3922119140625,824.944580078125,399.64154052734375,132.18682861328125,3347.921630859375,266.78314208984375,79.29839324951172,132.87535095214844,51.820560455322266,198.8802947998047,291.4679870605469,990.5079345703125,517.8779907226562,100.30704498291016
2015-01-30,569.2931518554688,1799.8675537109375,166.1959228515625,144.83282470703125,1504.0006103515625,330.48834228515625,245.8258819580078,2027.4854736328125,301.0343322753906,819.4358520507812,398.9709777832031,131.2734375,3310.302490234375,267.8544006347656,80.30464172363281,132.66766357421875,51.541954040527344,195.85235595703125,275.3793029785156,966.1415405273438,511.4766540527344,100.94779205322266
2015-02-02,597.5592041015625,1767.9600830078125,161.6355438232422,142.52496337890625,1530.4154052734375,348.7947998046875,246.79559326171875,2004.6319580078125,293.6482849121094,823.5321044921875,398.0303039550781,134.26686096191406,3330.360107421875,257.104736328125,79.41019439697266,132.10125732421875,51.48971939086914,194.31166076660156,274.0868835449219,978.6556396484375,516.2107543945312,104.03506469726562
2015-02-03,567.8410034179688,1701.321533203125,159.22628784179688,143.14706420898438,1508.4085693359375,350.5010681152344,242.80250549316406,1989.9150390625,289.2667236328125,811.1021118164062,395.0592956542969,129.69482421875,3274.45263671875,251.45289611816406,80.50029754638672,135.7261962890625,51.263343811035156,200.635009765625,267.6692199707031,995.8021850585938,520.5079956054688,103.44425201416016
2015-02-04,540.7363891601562,1689.69482421875,159.09718322753906,146.91989135742188,1471.0670166015625,352.0014953613281,243.62396240234375,2002.0146484375,287.6392822265625,812.9383544921875,399.14788818359375,128.22540283203125,3228.80078125,256.58758544921875,80.24742889404297,139.1622772216797,50.93251419067383,198.7519073486328,261.2070007324219,978.6944580078125,508.5792236328125,103.05313110351562
