Date,RELIANCE.NS,ONGC.NS,NTPC.NS,POWERGRID.NS,COALINDIA.NS
2015-01-01,189.9998016357422,129.91119384765625,79.6338119506836,47.74595642089844,152.53903198242188
2015-01-02,189.49693298339844,131.8557891845703,80.72391510009766,48.32057571411133,153.22132873535156
2015-01-05,187.42123413085938,133.34730529785156,80.50029754638672,48.372825622558594,152.61927795410156
2015-01-06,178.91525268554688,125.79544830322266,77.81697845458984,47.293216705322266,152.4989013671875
2015-01-07,182.80984497070312,127.6456527709961,79.689697265625,47.972328186035156,150.3917236328125
2015-01-08,180.18844604492188,129.0616455078125,81.03138732910156,48.1812858581543,152.2982177734375
2015-01-09,184.09371948242188,132.53549194335938,78.4039306640625,48.216102600097656,150.53216552734375
2015-01-12,181.953857421875,131.28944396972656,78.26419830322266,47.53699493408203,143.62872314453125
2015-01-13,180.4238739013672,128.36309814453125,77.67720794677734,47.310646057128906,144.97328186035156
2015-01-14,178.66917419433594,129.91119384765625,77.00636291503906,47.38029098510742,145.77603149414062
2015-01-15,184.93898010253906,130.83631896972656,77.81697845458984,49.78325653076172,147.8832244873047
2015-01-16,186.10523986816406,131.06283569335938,78.48779296875,51.315589904785156,152.1376495361328
2015-01-19,188.23440551757812,131.2139129638672,79.24250030517578,51.48971939086914,152.19786071777344
2015-01-20,193.24172973632812,132.27122497558594,79.85741424560547,51.333003997802734,153.44210815429688
2015-01-21,194.0334930419922,130.6663818359375,80.2208023071289,51.15887451171875,157.275146484375
2015-01-22,189.1117706298828,133.25294494628906,78.37600708007812,51.66383743286133,159.1013641357422
2015-01-23,189.78582763671875,131.7047882080078,79.32634735107422,52.081748962402344,158.4190216064453
2015-01-27,190.24588012695312,132.25233459472656,80.0251235961914,52.221046447753906,153.5825653076172
2015-01-28,194.0548858642578,133.6305389404297,79.85741424560547,52.04692840576172,154.0441436767578
2015-01-29,198.8802947998047,132.87535095214844,79.29839324951172,51.820560455322266,150.49205017089844
2015-01-30,195.85235595703125,132.66766357421875,80.30464172363281,51.541954040527344,144.83282470703125
2015-02-02,194.31166076660156,132.10125732421875,79.41019439697266,51.48971939086914,142.52496337890625
2015-02-03,200.635009765625,135.7261962890625,80.50029754638672,51.263343811035156,143.14706420898438
2015-02-04,198.7519073486328,139.1622772216797,80.24742889404297,50.93251419067383,146.91989135742188
2015-02-05,197.66058349609375,134.66893005371094,78.75823974609375,50.027042388916016,148.4651641845703
2015-02-06,194.70755004882812,132.53549194335938,78.6739501953125,49.95738220214844,146.09715270996094
2015-02-09,191.88291931152344,134.55563354492188,77.99959564208984,49.2608757019043,144.75253295898438
2015-02-10,188.7373046875,133.9137420654297,77.07235717773438,50.53200912475586,147.76278686523438
2015-02-11,192.73886108398438,130.25108337402344,78.75823974609375,50.75838088989258,149.3481903076172
2015-02-12,194.5470733642578,130.8174591064453,79.85403442382812,52.32554244995117,148.0036163330078
2015-02-13,196.33384704589844,128.2120819091797,80.50029754638672,52.76084899902344,151.65599060058594
2015-02-16,193.18824768066406,128.5518798828125,80.92178344726562,53.19618606567383,151.33494567871094
2015-02-18,192.942138671875,125.58778381347656,82.07377624511719,53.89269256591797,152.65943908691406
2015-02-19,193.02774047851562,125.90875244140625,82.41094970703125,53.735965728759766,154.1043701171875
2015-02-20,186.8328094482422,124.87035369873047,81.84900665283203,53.370304107666016,153.62271118164062
