pair,fold,train_start,train_end,test_start,test_end,n_trades,win_rate,CAGR,Vol,Sharpe,MaxDD,FinalEquity
INFY__HCLTECH,4,2015-05-29,2021-05-29,2021-05-29,2021-11-29,0.0,,0.0,0.0,0.0,0.0,185174.05720272835
INFY__HCLTECH,5,2015-05-29,2021-11-29,2021-11-29,2022-05-29,0.0,,0.0,0.0,0.0,0.0,185174.05720272835
INFY__HCLTECH,6,2015-05-29,2022-05-29,2022-05-29,2022-11-29,0.0,,0.0,0.0,0.0,0.0,185174.05720272835
INFY__HCLTECH,7,2015-05-29,2022-11-29,2022-11-29,2023-05-29,2.0,0.5,0.027351708961149246,0.05440267393970316,0.523024395893126,-0.03266828818953682,187629.1030027567
INFY__HCLTECH,8,2015-05-29,2023-05-29,2023-05-29,2023-11-29,0.0,,0.0,0.0,0.0,0.0,187629.1030027567
INFY__HCLTECH,9,2015-05-29,2023-11-29,2023-11-29,2024-05-29,1.0,0.0,-0.02519655114027286,0.021957033019796447,-1.1512745532094748,-0.017966444444290186,185344.0422597635
INFY__HCLTECH,10,2015-05-29,2024-05-29,2024-05-29,2024-11-29,0.0,,-0.08415655005247313,0.03425402310265582,-2.548896743726983,-0.04614032975286442,177311.84522636604
INFY__HCLTECH,11,2015-05-29,2024-11-29,2024-11-29,2024-12-31,0.0,,0.0,0.0,0.0,0.0,177311.84522636604
HDFCBANK__KOTAKBANK,ALL,,,,,19.0,0.3157894736842105,-0.01835304315046038,0.03266218154322288,-0.5507729990893369,-0.11963166546043325,180667.5065869336
HEROMOTOCO__EICHERMOT,ALL,,,,,14.0,0.35714285714285715,-0.022109973372353653,0.03900684802646933,-0.553672745648293,-0.153874915292585,176905.23439761752
INFY__HCLTECH,ALL,,,,,6.0,0.3333333333333333,-0.021700808022485307,0.032974581063276276,-0.6487311679441365,-0.1392906063224778,177311.84522636604
PORTFOLIO,ALL,,,,,,,-0.020714776169278082,0.020771133994598564,-0.9973337835809,-0.12048606822412222,534884.5862109177
