Date,TCS.NS,INFY.NS,WIPRO.NS,HCLTECH.NS,TECHM.NS,MPHASIS.NS
2015-01-01,988.8798828125,367.77081298828125,91.15480041503906,296.374267578125,462.6292419433594,289.3536376953125
2015-01-02,1002.0487060546875,374.9980163574219,91.96338653564453,296.08837890625,464.8936767578125,288.20849609375
2015-01-05,986.8209228515625,371.7756042480469,92.12840270996094,291.1082458496094,457.1373291015625,289.2059020996094
2015-01-06,950.4405517578125,364.00811767578125,89.97492980957031,283.3336486816406,452.23382568359375,287.0633544921875
2015-01-07,939.21337890625,365.749755859375,89.29011535644531,276.6011047363281,450.1208190917969,284.9947204589844
2015-01-08,949.3525390625,367.59381103515625,89.93367767333984,283.0015869140625,457.6544189453125,282.7043762207031
2015-01-09,975.9630737304688,386.40704345703125,91.3363265991211,285.0766296386719,477.9281005859375,282.556640625
2015-01-12,974.9529418945312,394.1372375488281,91.75712585449219,290.6101379394531,491.0604553222656,279.0103759765625
2015-01-13,970.3692016601562,389.0986022949219,92.98648071289062,292.094970703125,492.3264465332031,283.25848388671875
2015-01-14,979.7115478515625,396.50286865234375,91.0805435180664,291.2095947265625,497.7558898925781,280.4510498046875
2015-01-15,986.3740844726562,397.5460205078125,92.326416015625,293.8749694824219,496.0174560546875,278.4931945800781
2015-01-16,983.6741333007812,394.574951171875,91.59210205078125,302.3134765625,502.2848205566406,279.7491760253906
2015-01-19,975.4580688476562,391.6319885253906,96.40231323242188,303.35565185546875,499.3072204589844,275.2424621582031
2015-01-20,971.3594970703125,395.6739807128906,97.4254150390625,308.42803955078125,499.5834045410156,272.84136962890625
2015-01-21,976.5455932617188,404.1864013671875,97.14488220214844,311.21319580078125,498.6385498046875,273.21075439453125
2015-01-22,976.4486083984375,409.1320495605469,98.95064544677734,307.2382507324219,491.79156494140625,267.5958557128906
2015-01-23,972.583251953125,412.59661865234375,100.15727233886719,303.72454833984375,495.8302001953125,268.3345947265625
2015-01-27,973.9262084960938,397.965087890625,99.6163558959961,298.1356201171875,502.2314147949219,265.7488098144531
2015-01-28,988.54248046875,399.464599609375,101.0643081665039,306.07623291015625,512.3414916992188,267.4111022949219
2015-01-29,990.5079345703125,399.64154052734375,100.30704498291016,304.1488342285156,517.8779907226562,266.78314208984375
2015-01-30,966.1415405273438,398.9709777832031,100.94779205322266,330.48834228515625,511.4766540527344,267.8544006347656
2015-02-02,978.6556396484375,398.0303039550781,104.03506469726562,348.7947998046875,516.2107543945312,257.104736328125
2015-02-03,995.8021850585938,395.0592956542969,103.44425201416016,350.5010681152344,520.5079956054688,251.45289611816406
2015-02-04,978.6944580078125,399.14788818359375,103.05313110351562,352.0014953613281,508.5792236328125,256.58758544921875
2015-02-05,993.5250244140625,408.6383972167969,106.22362518310547,365.3935546875,511.34295654296875,261.7961730957031
2015-02-06,1002.61376953125,415.4744873046875,107.05577087402344,362.06866455078125,510.0234680175781,260.2446594238281
2015-02-09,978.1493530273438,418.9018249511719,107.8130111694336,369.4037780761719,502.9089660644531,255.294677734375
2015-02-10,950.2208862304688,424.3781433105469,106.94760131835938,358.11407470703125,492.5759582519531,256.6984558105469
2015-02-11,957.51904296875,425.5982360839844,106.2485580444336,362.25384521484375,506.7069091796875,255.95957946777344
2015-02-12,958.3951416015625,430.5063171386719,107.64659118652344,367.57000732421875,518.7516479492188,254.8513946533203
2015-02-13,988.2117309570312,427.6937561035156,109.95995330810547,369.1536865234375,514.6951293945312,264.3450927734375
2015-02-16,1006.1371459960938,424.4620056152344,110.09310150146484,367.65338134765625,517.0131225585938,271.0681457519531
2015-02-18,1025.9300537109375,427.7683410644531,111.34131622314453,376.5999450683594,515.7114868164062,278.0498962402344
2015-02-19,1043.6024169921875,433.0210876464844,109.76023864746094,379.3783874511719,504.6385498046875,279.2320251464844
2015-02-20,1041.4610595703125,425.2722473144531,108.17916107177734,370.5985412597656,501.0812683105469,278.6410217285156
2015-02-23,1049.67431640625,422.0126037597656,108.13756561279297,365.087890625,495.4735107421875,287.87603759765625
2015-02-24,1052.827392578125,423.3536376953125,108.67845153808594,366.0233459472656,497.7112731933594,288.0977478027344
2015-02-25,1040.1572265625,431.6985168457031,110.47588348388672,367.3477783203125,492.58489990234375,282.77825927734375
2015-02-26,1034.0264892578125,420.6155090332031,109.49395751953125,365.9122619628906,490.0084533691406,287.8021545410156
2015-02-27,1036.3232421875,422.04046630859375,108.89480590820312,374.53472900390625,505.6370849609375,283.5909729003906
2015-03-02,1039.0672607421875,426.8741149902344,110.5923843383789,375.06256103515625,509.9699401855469,284.0342712402344
2015-03-03,1080.5614013671875,428.0196838378906,111.9155044555664,376.23876953125,518.609130859375,286.9156494140625
2015-03-04,1068.8837890625,423.6982727050781,109.76023864746094,377.12786865234375,513.4379272460938,287.2110900878906
2015-03-05,1049.5966796875,418.65966796875,111.14159393310547,382.4994812011719,513.197265625,289.538330078125
2015-03-09,1030.270263671875,407.9398498535156,109.86009216308594,382.6291809082031,501.2864074707031,294.74700927734375
2015-03-10,1028.6746826171875,409.4206848144531,108.89480590820312,378.6375427246094,506.35931396484375,297.1850280761719
